overall,1,1,1,0,0,1.000,259,20,572,12.95,2.71,Profile,56319
England,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
Zimbabwe,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
neutral,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
,56319
1990s,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
,56319
won the toss,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
lost the toss,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
won toss & fielded,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
lost toss & sent in,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
matches batting first,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
matches fielding first,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
1st match innings,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
2nd match innings,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
won match,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
lost match,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
won batting first,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
lost fielding first,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
World Cup,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
overall,1,1,1,0,0,1.000,454,16,564,28.37,4.82,Profile,56322
England,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
Sri Lanka,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
neutral,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
,56322
1990s,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
,56322
won the toss,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost the toss,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won toss & batted,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost toss & fielded,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
matches batting first,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
matches fielding first,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
1st match innings,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
2nd match innings,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won match,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost match,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won batting first,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost fielding first,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
World Cup,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
overall,1,1,1,0,0,1.000,445,17,600,26.17,4.45,Profile,56326
Sri Lanka,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
West Indies,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
,56326
neutral,1,1,1,0,0,1.000,445,17,600,26.17,4.45,,56326
,56326
1990s,1,1,1,0,0,1.000,445,17,600,26.17,4.45,,56326
,56326
won the toss,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
lost the toss,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
,56326
won toss & fielded,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
lost toss & sent in,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
,56326
matches batting first,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
matches fielding first,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
,56326
1st match innings,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
2nd match innings,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
,56326
won match,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
lost match,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
,56326
won batting first,1,1,0,0,0,-,268,8,300,33.50,5.36,,56326
lost fielding first,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
,56326
World Cup,1,1,1,0,0,1.000,445,17,600,26.17,4.45,,56326
overall,2,2,2,0,0,1.000,507,23,732,22.04,4.15,Profile,56362
Australia,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
Bangladesh,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
,56362
home,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
away,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
,56362
2000s,2,2,2,0,0,1.000,507,23,732,22.04,4.15,,56362
,56362
won the toss,2,1,1,0,0,1.000,254,12,406,21.16,3.75,,56362
lost the toss,2,1,1,0,0,1.000,253,11,326,23.00,4.65,,56362
,56362
won toss & batted,1,0,1,0,0,0.000,147,10,271,14.70,3.25,,56362
won toss & fielded,1,1,0,0,0,-,107,2,135,53.50,4.75,,56362
lost toss & sent in,1,0,1,0,0,0.000,105,10,204,10.50,3.08,,56362
lost toss & fielded,1,1,0,0,0,-,148,1,122,148.00,7.27,,56362
,56362
matches batting first,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
matches fielding first,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
,56362
1st match innings,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
2nd match innings,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
,56362
won match,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
lost match,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
,56362
won fielding first,2,2,0,0,0,-,255,3,257,85.00,5.95,,56362
lost batting first,2,0,2,0,0,0.000,252,20,475,12.60,3.18,,56362
,56362
1st match in series,1,1,1,0,0,1.000,212,12,339,17.66,3.75,,56362
2nd match in series,1,1,1,0,0,1.000,295,11,393,26.81,4.50,,56362
overall,1,1,1,0,0,1.000,325,19,588,17.10,3.31,Profile,56397
England,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
West Indies,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
,56397
neutral,1,1,1,0,0,1.000,325,19,588,17.10,3.31,,56397
,56397
1980s,1,1,1,0,0,1.000,325,19,588,17.10,3.31,,56397
,56397
won the toss,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
lost the toss,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
,56397
won toss & fielded,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
lost toss & sent in,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
,56397
matches batting first,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
matches fielding first,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
,56397
1st match innings,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
2nd match innings,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
,56397
won match,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
lost match,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
,56397
won batting first,1,1,0,0,0,-,177,9,300,19.66,3.54,,56397
lost fielding first,1,0,1,0,0,0.000,148,10,288,14.80,3.08,,56397
overall,1,1,1,0,0,1.000,395,9,544,43.88,4.35,Profile,56410
Sri Lanka,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
West Indies,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
,56410
neutral,1,1,1,0,0,1.000,395,9,544,43.88,4.35,,56410
,56410
1980s,1,1,1,0,0,1.000,395,9,544,43.88,4.35,,56410
,56410
won the toss,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
lost the toss,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
,56410
won toss & fielded,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
lost toss & sent in,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
,56410
matches batting first,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
matches fielding first,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
,56410
1st match innings,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
2nd match innings,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
,56410
won match,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
lost match,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
,56410
won fielding first,1,1,0,0,0,-,198,2,244,99.00,4.86,,56410
lost batting first,1,0,1,0,0,0.000,197,7,300,28.14,3.94,,56410
overall,1,1,1,0,0,1.000,370,18,558,20.55,3.97,Profile,56420
India,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
New Zealand,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
,56420
neutral,1,1,1,0,0,1.000,370,18,558,20.55,3.97,,56420
,56420
1980s,1,1,1,0,0,1.000,370,18,558,20.55,3.97,,56420
,56420
won the toss,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
lost the toss,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
,56420
won toss & fielded,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
lost toss & sent in,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
,56420
matches batting first,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
matches fielding first,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
,56420
1st match innings,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
2nd match innings,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
,56420
won match,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
lost match,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
,56420
won batting first,1,1,0,0,0,-,202,9,288,22.44,4.20,,56420
lost fielding first,1,0,1,0,0,0.000,168,9,270,18.66,3.73,,56420
overall,1,0,0,0,1,0.000,1,0,2,-,3.00,Profile,56430
India,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
Sri Lanka,1,0,0,0,1,0.000,0,0,0,-,-,,56430
,56430
neutral,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
1990s,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
won the toss,1,0,0,0,1,0.000,0,0,0,-,-,,56430
lost the toss,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
won toss & fielded,1,0,0,0,1,0.000,0,0,0,-,-,,56430
lost toss & sent in,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
matches batting first,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
matches fielding first,1,0,0,0,1,0.000,0,0,0,-,-,,56430
,56430
1st match innings,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
no result,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
,56430
no result batting first,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
no result fielding first,1,0,0,0,1,0.000,0,0,0,-,-,,56430
,56430
World Cup,1,0,0,0,1,0.000,1,0,2,-,3.00,,56430
overall,5,5,5,0,0,1.000,1982,79,2671,25.08,4.45,Profile,56670
Bangladesh,5,4,1,0,0,4.000,1070,37,1349,28.91,4.75,,56670
Kenya,1,0,1,0,0,0.000,170,10,289,17.00,3.52,,56670
Sri Lanka,2,1,1,0,0,1.000,331,15,439,22.06,4.52,,56670
Zimbabwe,2,0,2,0,0,0.000,411,17,594,24.17,4.15,,56670
,56670
home,5,4,1,0,0,4.000,1070,37,1349,28.91,4.75,,56670
away,5,1,4,0,0,0.250,912,42,1322,21.71,4.13,,56670
,56670
2000s,5,5,5,0,0,1.000,1982,79,2671,25.08,4.45,,56670
,56670
won the toss,5,3,2,0,0,1.500,1044,37,1347,28.21,4.65,,56670
lost the toss,5,2,3,0,0,0.666,938,42,1324,22.33,4.25,,56670
,56670
won toss & batted,2,1,1,0,0,1.000,419,17,515,24.64,4.88,,56670
won toss & fielded,3,2,1,0,0,2.000,625,20,832,31.25,4.50,,56670
lost toss & sent in,3,1,2,0,0,0.500,649,27,890,24.03,4.37,,56670
lost toss & fielded,2,1,1,0,0,1.000,289,15,434,19.26,3.99,,56670
,56670
matches batting first,5,2,3,0,0,0.666,1068,44,1405,24.27,4.56,,56670
matches fielding first,5,3,2,0,0,1.500,914,35,1266,26.11,4.33,,56670
,56670
1st match innings,5,2,3,0,0,0.666,1068,44,1405,24.27,4.56,,56670
2nd match innings,5,3,2,0,0,1.500,914,35,1266,26.11,4.33,,56670
,56670
day match,2,2,2,0,0,1.000,896,33,1165,27.15,4.61,,56670
day/night match,3,3,3,0,0,1.000,1086,46,1506,23.60,4.32,,56670
,56670
won match,5,5,0,0,0,-,1071,32,1279,33.46,5.02,,56670
lost match,5,0,5,0,0,0.000,911,47,1392,19.38,3.92,,56670
,56670
won batting first,2,2,0,0,0,-,521,17,596,30.64,5.24,,56670
won fielding first,3,3,0,0,0,-,550,15,683,36.66,4.83,,56670
lost batting first,3,0,3,0,0,0.000,547,27,809,20.25,4.05,,56670
lost fielding first,2,0,2,0,0,0.000,364,20,583,18.20,3.74,,56670
,56670
1st match in series,2,2,2,0,0,1.000,708,32,949,22.12,4.47,,56670
2nd match in series,2,2,2,0,0,1.000,860,27,1132,31.85,4.55,,56670
3rd match in series,1,1,1,0,0,1.000,414,20,590,20.70,4.21,,56670
overall,1,1,1,0,0,1.000,400,11,531,36.36,4.51,Profile,56689
Bangladesh,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
West Indies,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
home,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
away,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
2010s,1,1,1,0,0,1.000,400,11,531,36.36,4.51,,56689
,56689
won the toss,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
lost the toss,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
won toss & fielded,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
lost toss & sent in,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
matches batting first,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
matches fielding first,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
,56689
1st match innings,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
2nd match innings,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
,56689
won match,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
lost match,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
won fielding first,1,1,0,0,0,-,202,2,231,101.00,5.24,,56689
lost batting first,1,0,1,0,0,0.000,198,9,300,22.00,3.96,,56689
,56689
3rd match in series,1,1,1,0,0,1.000,400,11,531,36.36,4.51,,56689
overall,1,1,1,0,0,1.000,507,11,584,46.09,5.20,Profile,56825
India,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
South Africa,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
,56825
neutral,1,1,1,0,0,1.000,507,11,584,46.09,5.20,,56825
,56825
1990s,1,1,1,0,0,1.000,507,11,584,46.09,5.20,,56825
,56825
won the toss,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
lost the toss,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
,56825
won toss & batted,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
lost toss & fielded,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
,56825
matches batting first,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
matches fielding first,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
,56825
1st match innings,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
2nd match innings,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
,56825
won match,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
lost match,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
,56825
won fielding first,1,1,0,0,0,-,254,6,284,42.33,5.36,,56825
lost batting first,1,0,1,0,0,0.000,253,5,300,50.60,5.06,,56825
,56825
World Cup,1,1,1,0,0,1.000,507,11,584,46.09,5.20,,56825
overall,2,2,2,0,0,1.000,693,38,1079,18.23,3.85,Profile,57207
Bangladesh,1,1,0,0,0,-,223,9,300,24.77,4.46,,57207
Pakistan,1,0,1,0,0,0.000,161,10,267,16.10,3.61,,57207
South Africa,1,1,0,0,0,-,199,9,300,22.11,3.98,,57207
Sri Lanka,1,0,1,0,0,0.000,110,10,212,11.00,3.11,,57207
,57207
neutral,2,2,2,0,0,1.000,693,38,1079,18.23,3.85,,57207
,57207
1990s,2,2,2,0,0,1.000,693,38,1079,18.23,3.85,,57207
,57207
won the toss,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
lost the toss,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
,57207
won toss & fielded,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
lost toss & sent in,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
,57207
matches batting first,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
matches fielding first,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
,57207
1st match innings,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
2nd match innings,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
,57207
won match,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
lost match,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
,57207
won batting first,2,2,0,0,0,-,422,18,600,23.44,4.22,,57207
lost fielding first,2,0,2,0,0,0.000,271,20,479,13.55,3.39,,57207
,57207
World Cup,2,2,2,0,0,1.000,693,38,1079,18.23,3.85,,57207
overall,1,1,1,0,0,1.000,501,18,702,27.83,4.28,Profile,57367
India,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
Zimbabwe,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
neutral,1,1,1,0,0,1.000,501,18,702,27.83,4.28,,57367
,57367
1980s,1,1,1,0,0,1.000,501,18,702,27.83,4.28,,57367
,57367
won the toss,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
lost the toss,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
won toss & batted,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
lost toss & fielded,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
matches batting first,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
matches fielding first,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
1st match innings,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
2nd match innings,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
won match,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
lost match,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
won batting first,1,1,0,0,0,-,266,8,360,33.25,4.43,,57367
lost fielding first,1,0,1,0,0,0.000,235,10,342,23.50,4.12,,57367
,57367
World Cup,1,1,1,0,0,1.000,501,18,702,27.83,4.28,,57367
overall,1,1,1,0,0,1.000,316,12,539,26.33,3.51,Profile,57852
England,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
India,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
,57852
home,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
away,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
,57852
1980s,1,1,1,0,0,1.000,316,12,539,26.33,3.51,,57852
,57852
won the toss,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
lost the toss,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
,57852
won toss & fielded,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
lost toss & sent in,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
,57852
matches batting first,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
matches fielding first,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
,57852
1st match innings,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
2nd match innings,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
,57852
won match,1,1,0,0,0,-,160,5,263,32.00,3.65,,57852
lost match,1,0,1,0,0,0.000,156,7,276,22.28,3.39,,57852
,57852
